Please select all of the parent campaigns you would like to use in 2016
"GSI (Partner), MMGOBig (EA / MM Campaigns)"
"ATMOLIVE, MMGOBig (EA / MM Campaigns), NURT (Always on Nurture)"
"ATMOLIVE, COLLAB (Collaboration), HOA (Hangout on Air), INDCON (Industry Conferences), NURT (Always on Nurture)"
"ATMOLIVE, MMGOBig (EA / MM Campaigns), NURT (Always on Nurture)"
"ABM (Account Based Marketing), ATMOLIVE, MMGOBig (EA / MM Campaigns)"
"ATMOLIVE, HOA (Hangout on Air), MMGOBig (EA / MM Campaigns), NURT (Always on Nurture)"
"ABM (Account Based Marketing), ATMOLIVE, COLLAB (Collaboration), FASTG (Fast Grow), HOA (Hangout on Air), MMGOBig (EA / MM Campaigns), NURT (Always on Nurture)"
"ABM (Account Based Marketing), ATMOLIVE, INDCON (Industry Conferences), TECHT (Tech Talks)"
"ABM (Account Based Marketing), ATMOLIVE, COLLAB (Collaboration), FASTG (Fast Grow), GSI (Partner), HOA (Hangout on Air), INDCON (Industry Conferences), MMGOBig (EA / MM Campaigns), NURT (Always on Nurture), SHDIT (Shadow IT)"
"ABM (Account Based Marketing), ATMOLIVE, MMGOBig (EA / MM Campaigns)"
"ATMOLIVE, GSI (Partner), INDCON (Industry Conferences), MMGOBig (EA / MM Campaigns), NURT (Always on Nurture)"
"ATMOLIVE, COLLAB (Collaboration), FASTG (Fast Grow), MMGOBig (EA / MM Campaigns), NURT (Always on Nurture), SHDIT (Shadow IT)"
"HOA (Hangout on Air), MMGOBig (EA / MM Campaigns), NURT (Always on Nurture)"
"ABM (Account Based Marketing), ATMOLIVE, INDCON (Industry Conferences), MMGOBig (EA / MM Campaigns), NURT (Always on Nurture)"
"ABM (Account Based Marketing), ATMOLIVE, MMGOBig (EA / MM Campaigns)"
"ABM (Account Based Marketing), ATMOLIVE, GSI (Partner), HOA (Hangout on Air), INDCON (Industry Conferences), MMGOBig (EA / MM Campaigns), NURT (Always on Nurture)"
NONE (N/A)
"ABM (Account Based Marketing), ATMOLIVE, NURT (Always on Nurture)"
"COLLAB (Collaboration), GSI (Partner), MMGOBig (EA / MM Campaigns)"
NURT (Always on Nurture)
"ABM (Account Based Marketing), ATMOLIVE, GSI (Partner), INDCON (Industry Conferences), MMGOBig (EA / MM Campaigns), NURT (Always on Nurture), TECHT (Tech Talks)"
"ATMOLIVE, MMGOBig (EA / MM Campaigns)"
